,Name,Franchise,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,playtime,metacritic,rating,exceptional,recommended,meh,skip,esrb_rating
0,Super Mario All-Stars,Mario,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29,5.744274809160306,80.23868312757202,4.39,57.0,32.0,6.0,4.0,Everyone
1,New Super Mario Bros. 2,Mario,3DS,2012.0,Platform,Nintendo,3.66,3.07,2.47,0.63,4.0,78.0,3.73,18.0,101.0,49.0,5.0,Everyone
2,Donkey Kong Country,DonkeyKong,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23,6.0,80.23868312757202,4.4,208.0,117.0,29.0,11.0,Everyone
3,Super Mario Bros. 2,Mario,NES,1988.0,Platform,Nintendo,5.39,1.18,0.7,0.19,10.0,80.23868312757202,3.93,52.0,157.0,42.0,9.0,Everyone
4,Donkey Kong Country Returns,DonkeyKong,Wii,2010.0,Platform,Nintendo,3.25,1.84,1.03,0.47,10.0,85.0,4.4,77.0,53.0,11.0,3.0,Everyone
5,Super Mario Sunshine,Mario,GC,2002.0,Platform,Nintendo,4.01,1.26,0.87,0.17,5.744274809160306,92.0,4.29,154.0,96.0,34.0,11.0,Everyone
6,Super Mario Advance,Mario,GBA,2001.0,Platform,Nintendo,3.14,1.24,0.91,0.2,2.0,84.0,3.78,7.0,22.0,3.0,4.0,Everyone
7,Super Mario World,Mario,GBA,2001.0,Platform,Nintendo,3.21,1.11,0.95,0.2,6.0,92.0,4.36,466.0,193.0,54.0,46.0,Everyone
8,Donkey Kong 64,DonkeyKong,N64,1999.0,Platform,Nintendo,3.33,0.79,1.09,0.06,5.744274809160306,90.0,3.97,38.0,40.0,23.0,6.0,Everyone
9,Super Mario Land 3: Wario Land,Mario,GB,1994.0,Platform,Nintendo,2.49,0.98,1.57,0.15,1.0,80.23868312757202,4.14,23.0,39.0,4.0,3.0,Everyone
10,Donkey Kong Country 2: Diddy's Kong Quest,DonkeyKong,SNES,1995.0,Platform,Nintendo,2.1,0.74,2.2,0.11,10.0,80.23868312757202,4.37,134.0,60.0,13.0,13.0,Everyone
11,Kirby's Dream Land,Kirby,GB,1992.0,Platform,Nintendo,2.71,0.61,1.7,0.11,5.744274809160306,80.23868312757202,3.78,9.0,35.0,13.0,3.0,Everyone
12,Super Mario World 2: Yoshi's Island,Mario,SNES,1995.0,Platform,Nintendo,1.65,0.61,1.76,0.09,5.744274809160306,91.0,4.33,126.0,78.0,22.0,9.0,Everyone
13,Donkey Kong Land,DonkeyKong,GB,1994.0,Platform,Nintendo,1.97,0.76,1.07,0.11,5.744274809160306,80.23868312757202,3.89,2.0,4.0,3.0,0.0,Everyone
14,Banjo-Kazooie,No Franchise,N64,1998.0,Platform,Nintendo,1.87,1.13,0.55,0.1,2.0,92.0,4.23,142.0,130.0,36.0,11.0,Everyone
15,Donkey Kong Country 3: Dixie Kong's Double Trouble!,DonkeyKong,SNES,1996.0,Platform,Nintendo,1.17,0.5,1.75,0.08,3.0,80.23868312757202,4.38,68.0,42.0,12.0,3.0,Everyone
16,Super Mario Maker,Mario,WiiU,2015.0,Platform,Nintendo,1.18,0.87,0.93,0.2,10.0,80.0,4.12,34.0,91.0,11.0,2.0,Everyone
17,Donkey Kong,DonkeyKong,GB,1994.0,Platform,Nintendo,1.57,0.62,0.55,0.34,10.0,80.23868312757202,3.73,21.0,104.0,49.0,7.0,Everyone
18,Kirby Super Star Ultra,Kirby,DS,2008.0,Platform,Nintendo,1.57,0.04,1.19,0.15,5.744274809160306,76.0,4.38,45.0,13.0,7.0,4.0,Everyone
19,Super Mario World 2: Yoshi's Island,Mario,GBA,2002.0,Platform,Nintendo,1.75,0.45,0.62,0.09,5.744274809160306,91.0,4.33,126.0,78.0,22.0,9.0,Everyone
20,Yoshi's Story,Yoshi,N64,1997.0,Platform,Nintendo,1.29,0.53,0.98,0.05,5.744274809160306,80.23868312757202,3.84,10.0,32.0,13.0,2.0,Everyone
21,Yoshi's Island DS,Yoshi,DS,2006.0,Platform,Nintendo,1.47,0.07,1.1,0.15,2.0,80.23868312757202,3.62,5.0,22.0,8.0,4.0,Everyone
22,Super Mario Bros.: The Lost Levels,Mario,NES,1986.0,Platform,Nintendo,0.0,0.0,2.65,0.0,5.744274809160306,80.23868312757202,3.66,9.0,44.0,21.0,5.0,Everyone
23,Super Mario All-Stars: Limited Edition,Mario,Wii,2010.0,Platform,Nintendo,1.02,0.52,0.92,0.14,5.744274809160306,80.23868312757202,4.39,57.0,32.0,6.0,4.0,Everyone
24,Kirby's Dream Land 2,Kirby,GB,1995.0,Platform,Nintendo,0.69,0.14,1.48,0.05,5.744274809160306,80.23868312757202,3.94,3.0,23.0,5.0,0.0,Everyone
25,Donkey Kong Land II,DonkeyKong,GB,1996.0,Platform,Nintendo,1.39,0.48,0.4,0.08,5.744274809160306,80.23868312757202,4.03,4.0,1.0,0.0,0.0,Everyone
26,Mario Bros.,Mario,NES,1983.0,Platform,Nintendo,0.51,0.12,1.63,0.02,3.0,80.23868312757202,3.69,5.0,25.0,13.0,2.0,Everyone
27,Kirby: Nightmare in Dream Land,Kirby,GBA,2002.0,Platform,Nintendo,1.22,0.1,0.91,0.04,5.744274809160306,81.0,4.15,13.0,29.0,3.0,1.0,Everyone
28,Wario Land 4,Wario,GBA,2001.0,Platform,Nintendo,0.9,0.73,0.54,0.09,3.0,88.0,4.23,25.0,30.0,2.0,3.0,Everyone
29,New Super Luigi U,No Franchise,WiiU,2013.0,Platform,Nintendo,1.27,0.62,0.18,0.16,5.744274809160306,80.23868312757202,4.15,6.0,11.0,3.0,0.0,Everyone
30,Wario Land 3,Wario,GB,2000.0,Platform,Nintendo,1.11,0.51,0.34,0.23,5.0,80.23868312757202,3.85,10.0,10.0,2.0,4.0,Everyone
31,Donkey Kong Country,DonkeyKong,GB,2000.0,Platform,Nintendo,1.04,0.72,0.3,0.13,6.0,80.23868312757202,4.4,208.0,117.0,29.0,11.0,Everyone
32,Kirby's Epic Yarn,Kirby,Wii,2010.0,Platform,Nintendo,1.47,0.09,0.45,0.11,1.0,86.0,3.99,15.0,40.0,13.0,1.0,Everyone
33,Donkey Kong Country,DonkeyKong,GBA,2003.0,Platform,Nintendo,1.2,0.48,0.29,0.07,6.0,80.23868312757202,4.4,208.0,117.0,29.0,11.0,Everyone
34,Kirby Squeak Squad,Kirby,DS,2006.0,Platform,Nintendo,0.79,0.03,1.05,0.08,5.744274809160306,80.23868312757202,3.97,5.0,18.0,6.0,0.0,Everyone
35,Donkey Kong Country Returns,DonkeyKong,3DS,2013.0,Platform,Nintendo,0.73,0.62,0.4,0.12,10.0,85.0,4.4,77.0,53.0,11.0,3.0,Everyone
36,Kirby: Triple Deluxe,Kirby,3DS,2014.0,Platform,Nintendo,0.61,0.34,0.79,0.09,5.744274809160306,80.0,4.02,9.0,47.0,2.0,2.0,Everyone
37,Kirby 64: The Crystal Shards,Kirby,N64,2000.0,Platform,Nintendo,0.63,0.06,1.03,0.04,5.744274809160306,80.23868312757202,4.07,11.0,44.0,4.0,1.0,Teen
38,Kid Icarus,No Franchise,NES,1986.0,Platform,Nintendo,0.53,0.12,1.09,0.02,5.744274809160306,80.23868312757202,3.49,3.0,19.0,14.0,3.0,Everyone
39,Kirby's Adventure,Kirby,NES,1993.0,Platform,Nintendo,0.79,0.14,0.8,0.02,5.744274809160306,80.23868312757202,4.14,28.0,90.0,5.0,2.0,Everyone
