,Name,Franchise,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,playtime,metacritic,rating,exceptional,recommended,meh,skip,esrb_rating
40,Kirby's Return to Dreamland,Kirby,Wii,2011.0,Platform,Nintendo,0.62,0.21,0.79,0.08,5.744274809160306,77.0,4.04,11.0,50.0,5.0,1.0,Everyone 10+
41,Kirby & the Amazing Mirror,Kirby,GBA,2004.0,Platform,Nintendo,0.8,0.05,0.76,0.03,5.744274809160306,80.0,4.2,19.0,23.0,6.0,1.0,Everyone
42,Donkey Kong Classics,DonkeyKong,NES,1988.0,Platform,Nintendo,0.59,0.14,0.81,0.02,5.744274809160306,80.23868312757202,4.03,0.0,1.0,0.0,0.0,Everyone
43,Donkey Kong Country: Tropical Freeze,DonkeyKong,WiiU,2014.0,Platform,Nintendo,0.73,0.52,0.15,0.12,7.0,84.0,4.34,109.0,89.0,24.0,3.0,Everyone
44,Ice Climber,No Franchise,NES,1985.0,Platform,Nintendo,0.46,0.1,0.92,0.02,5.0,80.23868312757202,3.86,16.0,61.0,25.0,2.0,Everyone
45,Banjo-Tooie,No Franchise,N64,2000.0,Platform,Nintendo,0.82,0.36,0.25,0.06,2.0,90.0,4.01,40.0,57.0,18.0,7.0,Everyone
46,LEGO City Undercover,Lego,3DS,2013.0,Platform,Nintendo,0.51,0.75,0.07,0.12,3.0,80.0,3.93,35.0,93.0,28.0,6.0,Everyone 10+
47,Kirby Super Star,Kirby,SNES,1996.0,Platform,Nintendo,0.26,0.07,1.09,0.02,5.744274809160306,80.23868312757202,4.08,20.0,20.0,7.0,3.0,Everyone
48,Donkey Kong Jungle Beat,DonkeyKong,GC,2004.0,Platform,Nintendo,0.84,0.22,0.24,0.04,5.744274809160306,80.0,4.0,3.0,20.0,0.0,1.0,Everyone
49,Yoshi's Woolly World,Yoshi,WiiU,2015.0,Platform,Nintendo,0.61,0.47,0.11,0.1,5.744274809160306,80.23868312757202,4.2,15.0,25.0,6.0,0.0,Everyone
50,Donkey Kong Country 2,DonkeyKong,GBA,2004.0,Platform,Nintendo,0.79,0.27,0.12,0.04,10.0,80.23868312757202,4.37,134.0,60.0,13.0,13.0,Everyone
51,Wario Land: Shake It!,Wario,Wii,2008.0,Platform,Nintendo,0.6,0.31,0.15,0.11,1.0,80.23868312757202,3.93,12.0,8.0,5.0,3.0,Everyone
52,Donkey Kong,DonkeyKong,NES,1983.0,Platform,Nintendo,0.23,0.05,0.84,0.01,10.0,80.23868312757202,3.73,21.0,104.0,49.0,7.0,Everyone
53,Donkey Kong Jr.,DonkeyKong,NES,1983.0,Platform,Nintendo,0.33,0.07,0.7,0.01,5.744274809160306,80.23868312757202,3.66,5.0,38.0,14.0,4.0,Everyone
54,Popeye,No Franchise,NES,1983.0,Platform,Nintendo,0.51,0.12,0.45,0.02,4.0,80.23868312757202,3.77,4.0,42.0,12.0,2.0,Everyone
55,LEGO City Undercover,Lego,WiiU,2013.0,Platform,Nintendo,0.47,0.4,0.13,0.08,3.0,80.0,3.93,35.0,93.0,28.0,6.0,Everyone 10+
56,Super Princess Peach,No Franchise,DS,2005.0,Platform,Nintendo,0.72,0.06,0.21,0.07,5.744274809160306,75.0,3.81,0.0,17.0,4.0,0.0,Everyone
57,Kirby: Mass Attack,Kirby,DS,2011.0,Platform,Nintendo,0.52,0.06,0.41,0.05,5.744274809160306,80.23868312757202,4.1,3.0,5.0,2.0,0.0,Everyone
58,Balloon Fight,No Franchise,NES,1985.0,Platform,Nintendo,0.39,0.09,0.43,0.01,5.744274809160306,80.23868312757202,3.9,11.0,47.0,9.0,3.0,Everyone
59,The Legendary Starfy,No Franchise,DS,2008.0,Platform,Nintendo,0.61,0.0,0.2,0.05,5.744274809160306,75.0,4.03,0.0,5.0,0.0,0.0,Everyone
60,Donkey Kong Country 3,DonkeyKong,GBA,2005.0,Platform,Nintendo,0.45,0.17,0.14,0.01,3.0,80.23868312757202,4.38,68.0,42.0,12.0,3.0,Everyone
61,Classic NES Series: Donkey Kong,DonkeyKong,GBA,2004.0,Platform,Nintendo,0.4,0.15,0.17,0.01,10.0,80.23868312757202,3.73,21.0,104.0,49.0,7.0,Everyone
62,Kirby: Canvas Curse,Kirby,DS,2005.0,Platform,Nintendo,0.37,0.0,0.32,0.04,5.744274809160306,86.0,3.65,3.0,15.0,6.0,2.0,Everyone
63,Wario: Master of Disguise,Wario,DS,2007.0,Platform,Nintendo,0.28,0.02,0.33,0.03,5.744274809160306,80.23868312757202,3.75,1.0,7.0,4.0,0.0,Everyone
64,Yoshi Topsy-Turvy,Yoshi,GBA,2004.0,Platform,Nintendo,0.25,0.09,0.3,0.01,5.744274809160306,80.23868312757202,3.57,1.0,4.0,1.0,1.0,Everyone
65,New Play Control! Donkey Kong Jungle Beat,DonkeyKong,Wii,2008.0,Platform,Nintendo,0.24,0.17,0.14,0.05,5.744274809160306,80.0,4.0,3.0,20.0,0.0,1.0,Everyone
66,Kirby and the Rainbow Curse,Kirby,WiiU,2015.0,Platform,Nintendo,0.23,0.14,0.12,0.04,1.0,80.23868312757202,3.57,1.0,2.0,4.0,0.0,Everyone
67,Wrecking Crew,No Franchise,NES,1985.0,Platform,Nintendo,0.0,0.0,0.51,0.0,5.744274809160306,80.23868312757202,3.8,1.0,14.0,5.0,0.0,Everyone
68,Densetsu no Stafi,No Franchise,GBA,2002.0,Platform,Nintendo,0.0,0.0,0.46,0.01,5.744274809160306,80.23868312757202,4.03,0.0,0.0,0.0,0.0,Everyone
69,Bomberman Hero,Bomberman,N64,1998.0,Platform,Nintendo,0.27,0.06,0.08,0.05,5.744274809160306,80.23868312757202,3.71,2.0,8.0,3.0,1.0,Everyone
70,Densetsu no Stafi 2,No Franchise,GBA,2003.0,Platform,Nintendo,0.0,0.0,0.43,0.01,5.744274809160306,80.23868312757202,4.03,0.0,0.0,0.0,0.0,Everyone
71,Wario World,Wario,GC,2003.0,Platform,Nintendo,0.34,0.09,0.0,0.01,5.744274809160306,71.0,3.71,3.0,10.0,2.0,2.0,Everyone
72,Mischief Makers,No Franchise,N64,1997.0,Platform,Nintendo,0.25,0.06,0.07,0.06,5.744274809160306,80.23868312757202,4.29,5.0,8.0,1.0,0.0,Everyone 10+
73,Famicom Mini: Super Mario Bros. 2,Mario,GBA,2004.0,Platform,Nintendo,0.0,0.0,0.41,0.01,10.0,80.23868312757202,3.93,52.0,157.0,42.0,9.0,Everyone
74,Yoshi Touch & Go,Yoshi,DS,2005.0,Platform,Nintendo,0.34,0.02,0.0,0.03,5.744274809160306,80.23868312757202,3.84,10.0,32.0,13.0,2.0,Everyone
75,Wario Land II (GBC),Wario,GB,1998.0,Platform,Nintendo,0.0,0.0,0.38,0.0,1.0,80.23868312757202,4.14,23.0,39.0,4.0,3.0,Everyone
76,Kirby's Dream Land 3,Kirby,SNES,1997.0,Platform,Nintendo,0.0,0.0,0.36,0.0,5.744274809160306,80.23868312757202,3.65,2.0,17.0,5.0,2.0,Everyone
77,Classic NES Series: Ice Climber,No Franchise,GBA,2004.0,Platform,Nintendo,0.1,0.04,0.2,0.01,5.0,80.23868312757202,3.86,16.0,61.0,25.0,2.0,Everyone
78,Classic NES Series: Castlevania,Castlevania,GBA,2004.0,Platform,Nintendo,0.17,0.06,0.09,0.01,5.744274809160306,80.23868312757202,4.11,15.0,44.0,5.0,1.0,Rating Pending
79,Mega Man II,MegaMan,GB,1991.0,Platform,Nintendo,0.0,0.0,0.28,0.0,5.744274809160306,80.23868312757202,4.33,79.0,63.0,7.0,7.0,Everyone
80,DK: King of Swing,No Franchise,GBA,2005.0,Platform,Nintendo,0.17,0.06,0.0,0.0,5.744274809160306,80.23868312757202,3.83,0.0,5.0,1.0,0.0,Everyone
81,Densetsu no Stafi 3,No Franchise,GBA,2004.0,Platform,Nintendo,0.0,0.0,0.23,0.01,5.744274809160306,80.23868312757202,4.03,0.0,0.0,0.0,0.0,Everyone
82,Yoshi Touch & Go (JP sales),Yoshi,DS,2005.0,Platform,Nintendo,0.0,0.0,0.22,0.0,5.744274809160306,80.23868312757202,3.84,10.0,32.0,13.0,2.0,Everyone
83,Densetsu no Stafi 4,No Franchise,DS,2006.0,Platform,Nintendo,0.0,0.0,0.17,0.0,5.744274809160306,80.23868312757202,4.03,0.0,0.0,0.0,0.0,Everyone
84,Famicom Mini: Mario Bros.,Mario,GBA,2004.0,Platform,Nintendo,0.0,0.0,0.08,0.0,3.0,80.23868312757202,3.69,5.0,25.0,13.0,2.0,Everyone
85,Famicom Mini: Hikari Shinwa: Palutena no Kagami,No Franchise,GBA,2004.0,Platform,Nintendo,0.0,0.0,0.07,0.0,5.744274809160306,80.23868312757202,4.03,0.0,0.0,0.0,0.0,Everyone
86,Donkey Kong Jungle Beat,DonkeyKong,Wii,2008.0,Platform,Nintendo,0.0,0.01,0.0,0.0,5.744274809160306,80.0,4.0,3.0,20.0,0.0,1.0,Everyone
87,Super Mario Kart,Mario,SNES,1992.0,Racing,Nintendo,3.54,1.24,3.81,0.18,6.0,80.23868312757202,4.06,74.0,122.0,42.0,6.0,Everyone
88,Mario Kart 8,Mario,WiiU,2014.0,Racing,Nintendo,3.13,2.07,1.27,0.49,13.0,88.0,4.37,158.0,114.0,18.0,10.0,Everyone
89,Mario Kart: Double Dash!!,Mario,GC,2003.0,Racing,Nintendo,4.12,1.77,0.87,0.19,7.3578680203045685,87.0,4.35,152.0,108.0,12.0,13.0,Everyone
90,Diddy Kong Racing,No Franchise,N64,1997.0,Racing,Nintendo,2.91,0.99,0.89,0.1,7.3578680203045685,88.0,4.21,26.0,52.0,5.0,1.0,Everyone
91,Excitebike,No Franchise,NES,1984.0,Racing,Nintendo,2.04,0.48,1.57,0.07,2.0,80.23868312757202,3.93,27.0,81.0,31.0,2.0,Everyone
92,F-1 Race,F1,GB,1990.0,Racing,Nintendo,1.73,0.69,0.59,0.4,7.3578680203045685,80.23868312757202,3.72,2.0,11.0,4.0,1.0,Everyone
93,Wave Race 64,No Franchise,N64,1996.0,Racing,Nintendo,1.98,0.58,0.34,0.04,7.3578680203045685,92.0,4.08,7.0,25.0,4.0,0.0,Everyone
94,F-Zero,FZERO,SNES,1990.0,Racing,Nintendo,1.37,0.51,0.89,0.07,15.0,80.23868312757202,4.04,14.0,30.0,12.0,0.0,Everyone
95,R.C. Pro-Am,No Franchise,NES,1988.0,Racing,Nintendo,1.47,0.38,0.19,0.1,7.3578680203045685,80.23868312757202,3.94,4.0,9.0,5.0,0.0,Everyone
96,Rad Racer,No Franchise,NES,1986.0,Racing,Nintendo,1.13,0.37,0.41,0.05,7.3578680203045685,80.23868312757202,4.03,0.0,3.0,2.0,0.0,Everyone
97,Cruis'n USA,No Franchise,N64,1996.0,Racing,Nintendo,1.69,0.04,0.0,0.01,7.3578680203045685,80.23868312757202,3.86,1.0,16.0,4.0,0.0,Everyone
98,Kirby Air Ride,Kirby,GC,2003.0,Racing,Nintendo,1.01,0.11,0.45,0.04,7.3578680203045685,80.23868312757202,4.38,16.0,19.0,2.0,0.0,Everyone
99,F1 Race,F1,NES,1984.0,Racing,Nintendo,0.0,0.0,1.52,0.0,7.3578680203045685,80.23868312757202,3.4,0.0,4.0,6.0,0.0,Everyone
100,Super R.C. Pro-Am,No Franchise,GB,1991.0,Racing,Nintendo,0.58,0.37,0.15,0.04,7.3578680203045685,80.23868312757202,4.03,0.0,1.0,0.0,0.0,Everyone
101,F-Zero X,FZERO,N64,1998.0,Racing,Nintendo,0.45,0.33,0.29,0.03,7.3578680203045685,85.0,4.41,11.0,16.0,0.0,0.0,Everyone
102,Excitebike 64,No Franchise,N64,2000.0,Racing,Nintendo,0.65,0.15,0.19,0.01,7.3578680203045685,80.23868312757202,4.25,2.0,6.0,0.0,0.0,Everyone
103,F-Zero GX,FZERO,GC,2003.0,Racing,Nintendo,0.41,0.11,0.12,0.02,7.3578680203045685,89.0,4.42,33.0,12.0,5.0,2.0,Teen
104,Cruis'n World,No Franchise,N64,1998.0,Racing,Nintendo,0.59,0.04,0.0,0.01,7.3578680203045685,80.23868312757202,4.0,1.0,8.0,1.0,0.0,Everyone
105,Donkey Kong Barrel Blast,DonkeyKong,Wii,2007.0,Racing,Nintendo,0.2,0.26,0.11,0.06,7.3578680203045685,80.23868312757202,4.03,0.0,3.0,0.0,1.0,Everyone
106,Wave Race: Blue Storm,No Franchise,GC,2001.0,Racing,Nintendo,0.4,0.1,0.09,0.02,7.3578680203045685,80.0,4.03,0.0,1.0,0.0,0.0,Everyone
107,Mickey's Speedway USA,No Franchise,N64,2000.0,Racing,Nintendo,0.37,0.08,0.14,0.01,7.3578680203045685,80.23868312757202,4.03,0.0,3.0,0.0,0.0,Everyone
108,Excite Truck,No Franchise,Wii,2006.0,Racing,Nintendo,0.4,0.03,0.08,0.04,7.3578680203045685,80.23868312757202,4.0,3.0,3.0,3.0,0.0,Everyone
109,Stunt Race FX,No Franchise,SNES,1993.0,Racing,Nintendo,0.0,0.0,0.35,0.0,7.3578680203045685,80.23868312757202,4.03,0.0,1.0,1.0,1.0,Everyone
110,ExciteBots: Trick Racing,No Franchise,Wii,2009.0,Racing,Nintendo,0.26,0.0,0.0,0.02,7.3578680203045685,80.23868312757202,4.03,0.0,1.0,0.0,2.0,Everyone
111,Classic NES Series: Excitebike,No Franchise,GBA,2004.0,Racing,Nintendo,0.11,0.04,0.1,0.01,2.0,80.23868312757202,3.93,27.0,81.0,31.0,2.0,Everyone
112,F-Zero: GP Legend,FZERO,GBA,2003.0,Racing,Nintendo,0.11,0.04,0.0,0.0,7.3578680203045685,77.0,4.03,1.0,2.0,0.0,0.0,Everyone
113,Mickey's Speedway USA (weekly JP sales),No Franchise,N64,2000.0,Racing,Nintendo,0.0,0.0,0.1,0.0,7.3578680203045685,80.23868312757202,4.03,0.0,3.0,0.0,0.0,Everyone
114,Link's Crossbow Training,No Franchise,Wii,2007.0,Shooter,Nintendo,3.06,1.18,0.29,0.46,1.0,80.23868312757202,3.4,0.0,8.0,6.0,1.0,Everyone
115,Splatoon,No Franchise,WiiU,2015.0,Shooter,Nintendo,1.55,1.15,1.44,0.43,8.0,81.0,4.14,36.0,62.0,6.0,5.0,Everyone 10+
116,Star Fox 64,StarFox,N64,1997.0,Shooter,Nintendo,2.78,0.58,0.64,0.04,6.0,81.0,4.28,63.0,51.0,6.0,7.0,Everyone 10+
117,Star Fox,StarFox,SNES,1993.0,Shooter,Nintendo,1.61,0.51,0.8,0.07,5.608695652173913,80.23868312757202,3.83,17.0,31.0,13.0,5.0,Everyone
118,Metroid Prime 3: Corruption,Metroid,Wii,2007.0,Shooter,Nintendo,0.91,0.74,0.07,0.09,11.0,90.0,4.39,27.0,26.0,2.0,1.0,Teen
119,Super Scope 6,No Franchise,SNES,1991.0,Shooter,Nintendo,1.06,0.38,0.15,0.05,5.608695652173913,80.23868312757202,4.03,0.0,0.0,0.0,1.0,Everyone
120,Metroid Prime 2: Echoes,Metroid,GC,2004.0,Shooter,Nintendo,0.87,0.35,0.07,0.04,5.608695652173913,92.0,4.41,44.0,33.0,4.0,2.0,Everyone
121,Hogan's Alley,No Franchise,NES,1984.0,Shooter,Nintendo,0.68,0.16,0.41,0.02,5.608695652173913,80.23868312757202,3.76,4.0,29.0,12.0,1.0,Everyone
122,SolarStriker,No Franchise,GB,1989.0,Shooter,Nintendo,0.4,0.39,0.36,0.04,5.608695652173913,80.23868312757202,4.03,0.0,1.0,0.0,0.0,Everyone
123,Jet Force Gemini,No Franchise,N64,1999.0,Shooter,Nintendo,0.78,0.28,0.07,0.02,5.608695652173913,80.0,3.95,3.0,14.0,4.0,0.0,Teen
124,Star Fox: Assault,StarFox,GC,2005.0,Shooter,Nintendo,0.68,0.18,0.19,0.03,5.608695652173913,80.23868312757202,3.94,9.0,18.0,8.0,1.0,Everyone 10+
125,Star Fox 64 3D,StarFox,3DS,2011.0,Shooter,Nintendo,0.48,0.27,0.13,0.07,5.608695652173913,81.0,4.07,16.0,17.0,7.0,2.0,Everyone 10+
126,Metroid Prime Hunters,Metroid,DS,2006.0,Shooter,Nintendo,0.58,0.04,0.11,0.06,5.608695652173913,85.0,3.64,4.0,25.0,14.0,2.0,Teen
127,Metroid Prime: Trilogy,Metroid,Wii,2009.0,Shooter,Nintendo,0.43,0.05,0.0,0.14,5.608695652173913,91.0,4.42,41.0,10.0,4.0,4.0,Everyone
128,Star Fox Command,StarFox,DS,2006.0,Shooter,Nintendo,0.39,0.01,0.1,0.04,6.0,80.23868312757202,3.47,3.0,5.0,5.0,2.0,Everyone
129,Sin and Punishment: Star Successor,No Franchise,Wii,2009.0,Shooter,Nintendo,0.2,0.14,0.06,0.04,5.608695652173913,87.0,4.23,5.0,6.0,2.0,0.0,Teen
130,Star Fox: Zero,StarFox,WiiU,2016.0,Shooter,Nintendo,0.16,0.1,0.07,0.03,5.608695652173913,69.0,3.26,3.0,7.0,14.0,3.0,Everyone 10+
131,Classic NES Series: Xevious,No Franchise,GBA,2004.0,Shooter,Nintendo,0.08,0.03,0.12,0.01,1.0,80.23868312757202,3.5,21.0,115.0,39.0,28.0,Everyone
132,Super R-Type,No Franchise,SNES,1991.0,Shooter,Nintendo,0.0,0.0,0.23,0.0,1.0,80.23868312757202,4.03,0.0,0.0,0.0,0.0,Everyone
133,Sin and Punishment,No Franchise,N64,2000.0,Shooter,Nintendo,0.0,0.0,0.13,0.0,5.608695652173913,80.23868312757202,4.4,5.0,4.0,1.0,0.0,Teen
134,Famicom Mini: Star Soldier,No Franchise,GBA,2004.0,Shooter,Nintendo,0.0,0.0,0.08,0.0,1.0,80.23868312757202,4.03,0.0,0.0,0.0,0.0,Everyone
135,The Legend of Zelda,Zelda,NES,1986.0,Action,Nintendo,3.74,0.93,1.69,0.14,6.0,80.23868312757202,4.07,96.0,155.0,45.0,10.0,Everyone
136,The Legend of Zelda: Phantom Hourglass,Zelda,DS,2007.0,Action,Nintendo,1.9,1.83,0.95,0.49,18.0,90.0,4.04,48.0,110.0,28.0,4.0,Everyone
137,Luigi's Mansion: Dark Moon,LuigisMansion,3DS,2013.0,Action,Nintendo,1.78,1.39,1.1,0.3,8.772424017790957,80.23868312757202,4.07,25.0,60.0,12.0,2.0,Everyone
138,The Legend of Zelda: Link's Awakening,Zelda,GB,1992.0,Action,Nintendo,2.21,0.96,0.54,0.13,8.772424017790957,87.0,4.35,241.0,245.0,31.0,8.0,Everyone
139,Luigi's Mansion,LuigisMansion,GC,2001.0,Action,Nintendo,2.38,0.67,0.46,0.1,2.0,78.0,4.26,65.0,111.0,12.0,1.0,Everyone
140,Kung Fu,No Franchise,NES,1985.0,Action,Nintendo,1.64,0.38,1.42,0.06,8.772424017790957,80.23868312757202,4.03,0.0,1.0,1.0,0.0,Everyone
141,The Legend of Zelda: Spirit Tracks,Zelda,DS,2009.0,Action,Nintendo,1.43,0.94,0.74,0.27,19.0,87.0,3.91,31.0,95.0,25.0,7.0,Everyone 10+
142,The Legend of Zelda: A Link Between Worlds,Zelda,3DS,2013.0,Action,Nintendo,1.4,0.99,0.46,0.22,26.0,91.0,4.4,202.0,135.0,15.0,14.0,Everyone
143,Star Wars: Shadows of the Empire,StarWars,N64,1996.0,Action,Nintendo,2.0,0.5,0.12,0.03,1.0,80.23868312757202,3.74,16.0,32.0,20.0,5.0,Everyone
144,The Legend of Zelda: Majora's Mask 3D,Zelda,3DS,2015.0,Action,Nintendo,1.14,0.54,0.47,0.17,29.0,89.0,4.42,132.0,50.0,15.0,10.0,Everyone
145,Pinball,No Franchise,NES,1984.0,Action,Nintendo,0.8,0.19,0.83,0.03,8.772424017790957,80.23868312757202,4.03,0.0,0.0,0.0,0.0,Everyone 10+
146,Metroid Fusion,Metroid,GBA,2002.0,Action,Nintendo,1.18,0.27,0.17,0.06,14.0,92.0,4.38,113.0,58.0,10.0,10.0,Everyone
147,Mario Golf,Mario,N64,1999.0,Action,Nintendo,0.62,0.18,0.65,0.02,8.772424017790957,80.23868312757202,3.67,5.0,22.0,5.0,4.0,Everyone
148,The Legend of Zelda: The Minish Cap,Zelda,GBA,2004.0,Action,Nintendo,0.89,0.22,0.22,0.1,24.0,80.23868312757202,4.41,186.0,144.0,12.0,10.0,Everyone
